url,tag,class,class_count,id,role,home,depth,links,links_by_depth,probability
https://github.com/,3,0,2,0,0,0,7,1,1,0.6
https://github.com/,2,0,2,0,0,0,3,1,1,0.4
https://github.com/,2,-1,4,0,-1,0,3,1,1,0.4
https://github.com/,2,0,2,0,0,0,3,1,1,0.4
https://github.com/,2,0,1,0,0,0,4,0,0,0.15
https://github.com/,2,0,1,0,0,0,5,0,0,0.15
https://github.com/,2,0,3,0,0,0,5,1,1,0.4
https://github.com/,2,0,3,0,0,0,6,0,0,0.15
https://github.com/,2,0,5,0,0,0,7,0,0,0.15
https://github.com/,2,1,5,0,0,0,6,1,1,0.6000000000000001
https://github.com/,2,0,1,0,0,0,7,1,1,0.4
https://github.com/,2,0,3,0,0,0,8,0,0,0.15
https://github.com/,2,0,3,0,0,0,9,0,0,0.15
https://github.com/,2,0,1,0,0,0,10,0,0,0.15
https://github.com/,2,2,4,0,0,0,9,1,1,0.8500000000000001
https://github.com/,2,0,1,0,0,0,3,0,0,0.15
https://github.com/,2,0,0,0,0,0,3,0,0,0.15
https://github.com/,2,1,1,0,0,0,3,1,1,0.6000000000000001
https://github.com/,2,0,5,0,0,0,4,1,1,0.4
https://github.com/,2,0,3,0,0,0,5,1,1,0.4
https://github.com/,2,0,3,0,0,0,6,1,1,0.4
https://github.com/,2,0,3,0,0,0,7,0,0,0.15
https://github.com/,2,0,4,0,0,0,7,0,0,0.15
https://github.com/,2,0,7,0,0,0,8,0,0,0.15
https://github.com/,2,0,2,0,0,0,7,1,1,0.4
https://github.com/,2,0,5,0,0,0,4,0,0,0.15
https://github.com/,2,0,5,0,0,0,5,0,0,0.15
https://github.com/,2,0,1,0,0,0,6,0,0,0.15
https://github.com/,2,0,2,0,0,0,4,0,0,0.15
https://github.com/,2,0,4,0,0,0,5,0,0,0.15
https://github.com/,2,0,4,0,0,0,4,1,1,0.4
https://github.com/,2,0,3,0,0,0,5,1,1,0.4
https://github.com/,2,0,1,0,0,0,6,1,1,0.4
https://github.com/,2,0,2,0,0,0,5,1,1,0.4
https://github.com/,2,0,4,0,0,0,6,1,1,0.4
https://github.com/,2,0,5,0,0,0,7,0,0,0.15
https://github.com/,2,0,1,0,0,0,7,1,1,0.4
https://github.com/,2,0,1,0,0,0,9,0,0,0.15
https://github.com/,2,0,10,0,0,0,9,0,0,0.15
https://github.com/,2,0,1,0,0,0,10,0,0,0.15
https://github.com/,2,0,1,0,0,0,9,0,0,0.15
https://github.com/,2,0,10,0,0,0,9,0,0,0.15
https://github.com/,2,0,1,0,0,0,10,0,0,0.15
https://github.com/,2,0,1,0,0,0,9,0,0,0.15
https://github.com/,2,0,10,0,0,0,9,0,0,0.15
https://github.com/,2,0,1,0,0,0,10,0,0,0.15
https://github.com/,2,0,4,0,0,0,4,0,0,0.15
https://github.com/,2,0,2,0,0,0,5,0,0,0.15
https://github.com/,2,0,5,0,0,0,6,0,0,0.15
https://github.com/,2,0,5,0,0,0,7,0,0,0.15
https://github.com/,2,0,5,0,0,0,7,0,0,0.15
https://github.com/,2,0,7,0,0,0,6,0,0,0.15
https://github.com/,2,0,1,0,0,0,7,0,0,0.15
https://github.com/,2,0,1,0,0,0,7,0,0,0.15
https://github.com/,2,0,4,0,0,0,4,0,0,0.15
https://github.com/,2,0,3,0,0,0,5,0,0,0.15
https://github.com/,2,0,3,0,0,0,6,0,0,0.15
https://github.com/,2,0,5,0,0,0,6,0,0,0.15
https://github.com/,2,0,6,0,0,0,7,0,0,0.15
https://github.com/,2,0,6,0,0,0,7,0,0,0.15
https://github.com/,2,0,6,0,0,0,7,0,0,0.15
https://github.com/,2,0,6,0,0,0,7,0,0,0.15
https://github.com/,2,0,6,0,0,0,7,0,0,0.15
https://github.com/,2,0,6,0,0,0,7,0,0,0.15
https://github.com/,2,0,7,0,0,0,7,0,0,0.15
https://github.com/,2,0,3,0,0,0,6,0,0,0.15
https://github.com/,2,0,4,0,0,0,4,1,1,0.4
https://github.com/,2,0,2,0,0,0,5,0,0,0.15
https://github.com/,2,0,8,0,0,0,5,0,0,0.15
https://github.com/,2,0,2,0,0,0,5,1,1,0.4
https://github.com/,2,0,1,0,0,0,6,1,1,0.4
https://github.com/,2,0,2,0,0,0,7,1,1,0.4
https://github.com/,2,0,12,0,0,0,9,0,0,0.15
https://github.com/,2,0,8,0,0,0,9,0,0,0.15
https://github.com/,2,0,12,0,0,0,9,0,0,0.15
https://github.com/,2,0,8,0,0,0,9,0,0,0.15
https://github.com/,2,0,12,0,0,0,9,0,0,0.15
https://github.com/,2,0,8,0,0,0,9,0,0,0.15
https://github.com/,2,0,4,0,0,0,8,0,0,0.15
https://github.com/,2,0,4,0,0,0,4,0,0,0.15
https://github.com/,2,0,4,0,0,0,5,0,0,0.15
https://github.com/,2,0,4,0,0,0,5,0,0,0.15
https://github.com/,2,0,2,0,0,0,4,0,0,0.15
https://github.com/,2,-1,4,0,-1,0,3,1,1,0.4
https://github.com/,2,0,4,0,0,0,4,1,1,0.4
https://github.com/,2,0,3,0,0,0,5,0,0,0.15
https://github.com/,2,0,5,0,0,0,5,1,1,0.4
https://github.com/,2,0,5,0,0,0,5,1,1,0.4
https://github.com/,2,0,5,0,0,0,5,1,1,0.4
https://github.com/,2,0,5,0,0,0,5,1,1,0.4
https://github.com/,2,0,5,0,0,0,5,1,1,0.4
https://github.com/,2,0,3,0,0,0,3,0,0,0.15
https://github.com/,2,0,6,0,0,0,3,1,1,0.4
https://github.com/,2,0,1,0,0,0,3,0,0,0.15
https://github.com/,2,0,1,0,0,0,4,0,0,0.15
https://github.com/,2,0,1,0,0,0,5,0,0,0.15
https://github.com/,2,0,3,0,0,0,3,0,0,0.15
https://github.com/,2,-1,5,0,0,0,4,0,0,0.15
https://github.com/,2,0,1,0,0,0,3,0,0,0.15
https://github.com/,3,0,2,0,0,0,7,1,1,0.6
https://stackoverflow.com/,3,2,1,0,0,0,3,1,1,1.05
https://stackoverflow.com/,2,0,1,0,0,0,3,1,1,0.4
https://stackoverflow.com/,-1,-1,1,0,0,0,3,1,1,0.25
https://stackoverflow.com/,2,1,2,0,0,0,3,1,0,0.25
https://stackoverflow.com/,2,0,1,0,0,0,4,1,1,0.4
https://stackoverflow.com/,2,0,1,0,0,0,5,1,1,0.4
https://stackoverflow.com/,2,0,1,0,0,0,5,1,1,0.4
https://stackoverflow.com/,2,1,1,0,0,0,4,1,1,0.4
https://stackoverflow.com/,2,1,3,0,0,0,5,1,1,0.4
https://stackoverflow.com/,2,0,1,0,0,0,6,1,1,0.4
